id,Tr,olng,olat,dlng,dlat,episode
42,3880.73050681148,121.31081999999999,31.291240000000002,121.3167,31.291240000000002,None
43,4096.735786984675,121.31634,31.31665,121.3212,31.31665,None
44,4126.659921791011,121.28168000000001,31.33639,121.31827,31.33639,None
45,4136.848013784139,121.31113,31.309540000000002,121.26487,31.309540000000002,None
46,4161.438179661142,121.227924,31.377118,121.20548000000001,31.377118,None
47,4212.632893563374,121.278778,31.377981,121.28068999999999,31.377981,None
48,4359.309772957729,121.251846,31.365789000000003,121.2774,31.365789000000003,None
49,4468.376474580173,121.22828700000001,31.41605,121.20591999999999,31.41605,None
50,4498.649220672768,121.24766000000001,31.373379999999997,121.26031,31.373379999999997,None
51,4606.451630120993,121.25721999999999,31.368290000000002,121.227924,31.368290000000002,None
52,4623.217025209528,121.29593999999999,31.299359999999997,121.32491999999999,31.299359999999997,None
53,4626.203106093665,121.20893899999999,31.402703999999996,121.2444,31.402703999999996,None
54,4672.431200949228,121.20950900000001,31.402438,121.23648,31.402438,None
55,4711.037150619187,121.2482,31.34583,121.27708,31.34583,None
56,4780.088388606144,121.28408999999999,31.331640000000004,121.25738,31.331640000000004,None
57,4832.419948883613,121.247767,31.365699,121.22625,31.365699,None
58,4864.420470750778,121.26108,31.3868,121.24725,31.3868,None
59,4901.831465229725,121.245193,31.286119,121.27928,31.286119,None
60,4906.389888049188,121.30148999999999,31.30677,121.32138,31.30677,None
61,4925.694288323188,121.2283,31.37633,121.19931000000001,31.37633,None
62,4929.63534560785,121.22828999999999,31.41605,121.23782,31.41605,None
63,5018.301819727318,121.25917,31.34388,121.25368999999999,31.34388,None
64,5024.967110603146,121.29460900000001,31.383051000000002,121.30046999999999,31.383051000000002,None
65,5048.659099591525,121.259499,31.359509999999997,121.25878,31.359509999999997,None
66,5211.424803403738,121.276657,31.291946000000003,121.26845,31.291946000000003,None
67,5295.389101554327,121.23811,31.375,121.24318000000001,31.375,None
68,5316.730749469696,121.3075,31.26622,121.26705,31.26622,None
69,5333.61185330085,121.247767,31.365699,121.22625,31.365699,None
70,5368.126812687203,121.30273400000002,31.267511,121.31209,31.267511,None
71,5387.366730352017,121.25721999999999,31.368290000000002,121.227924,31.368290000000002,None
72,5545.462776780851,121.2192,31.27122,121.24712,31.27122,None
73,5612.295169917299,121.222122,31.319353000000003,121.23906000000001,31.319353000000003,None
74,5621.244558870097,121.23578,31.39227,121.32092,31.39227,None
75,5630.076457699099,121.2902,31.34015,121.32914,31.34015,None
76,5655.390189010132,121.32316000000002,31.29099,121.32268,31.29099,None
77,5744.952842860016,121.29808999999999,31.31295,121.32898,31.31295,None
78,6023.281458964603,121.3016,31.3087,121.27618999999999,31.3087,None
79,6055.714895311411,121.3239,31.31547,121.3327,31.31547,None
80,6117.598204961463,121.21593999999999,31.31267,121.19236000000001,31.31267,None
81,6123.964265828587,121.28788,31.38585,121.31086,31.38585,None
82,6246.944917892371,121.2771,31.35158,121.25376999999999,31.35158,None
83,6264.456335088187,121.28408999999999,31.331640000000004,121.25738,31.331640000000004,None
84,6293.005964049049,121.20893899999999,31.402703999999996,121.2444,31.402703999999996,None
85,6549.122387985705,121.29256000000001,31.34112,121.29273,31.34112,None
86,6753.391886453684,121.25246000000001,31.373590000000004,121.24911000000002,31.373590000000004,None
87,6792.45082825065,121.29593999999999,31.299359999999997,121.32491999999999,31.299359999999997,None
88,6816.6331230577025,121.24741999999999,31.349420000000002,121.20551,31.349420000000002,None
89,6925.25699247911,121.247767,31.365699,121.22625,31.365699,None
90,6959.796526427726,121.24198999999999,31.35003,121.24065,31.35003,None
91,6960.482740276944,121.238289,31.284651,121.200768,31.284651,None
92,7068.153989147541,121.30148,31.30882,121.32351100000001,31.30882,None
93,7095.778119563986,121.29213999999999,31.378790000000002,121.24065,31.378790000000002,None
94,7119.879199508675,121.227924,31.377118,121.27648,31.377118,None
95,7157.163861565099,121.24624299999999,31.345134,121.24493999999999,31.345134,None
96,7256.546963458581,121.25222,31.37323,121.25485,31.37323,None
