sar,orp,dqn,time
1194.4490296894514,1500.1508819411279,408.0,2610.0
1194.4490296894514,1548.1508819411279,432.0,2640.0
1194.4490296894514,1576.590115636549,456.0,2670.0
1194.4490296894514,1600.590115636549,480.0,2700.0
1242.4490296894514,1648.590115636549,504.0,2730.0
1266.4490296894514,1696.590115636549,528.0,2760.0
1290.4490296894514,1744.590115636549,552.0,2790.0
1314.4490296894514,1792.590115636549,576.0,2820.0
1338.4490296894514,1840.5901156365494,600.0,2850.0
1362.4490296894514,1912.5901156365494,624.0,2880.0
1386.4490296894514,1984.5901156365494,648.0,2910.0
1410.4490296894514,2056.233386356682,672.0,2940.0
1434.4490296894514,2104.233386356682,696.0,2970.0
1458.4490296894514,2152.233386356682,720.0,3000.0
1530.4490296894514,2200.233386356682,744.0,3030.0
1602.4490296894514,2248.233386356682,768.0,3060.0
1674.4490296894517,2296.233386356682,792.0,3090.0
1746.4490296894517,2344.233386356682,816.0,3120.0
1818.4490296894517,2392.2200092735457,840.0,3150.0
1962.4490296894517,2416.2200092735457,840.0,3180.0
2106.449029689452,2440.2200092735457,840.0,3210.0
2226.449029689452,2464.2200092735457,840.0,3240.0
2346.449029689452,2488.2200092735457,840.0,3270.0
2466.449029689452,2512.2200092735457,840.0,3300.0
2586.449029689452,2560.220009273546,864.0,3330.0
2706.449029689452,2587.8676346207417,888.0,3360.0
2826.449029689452,2611.8676346207417,912.0,3390.0
2922.449029689452,2635.8676346207417,936.0,3420.0
3018.449029689452,2659.8676346207417,960.0,3450.0
3114.449029689452,2731.8676346207417,984.0,3480.0
3210.449029689452,2803.8676346207417,1008.0,3510.0
3306.449029689452,2875.8676346207417,1032.0,3540.0
3402.449029689452,2947.8676346207417,1056.0,3570.0
3498.449029689452,3019.8676346207417,1080.0,3600.0
3594.449029689452,3091.8676346207417,1104.0,3630.0
3685.1205040364803,3163.8676346207417,1128.0,3660.0
3757.1205040364803,3235.8676346207417,1152.0,3690.0
3829.1205040364803,3307.8676346207417,1176.0,3720.0
3901.1205040364803,3379.8676346207417,1200.0,3750.0
3997.1205040364803,3451.8676346207417,1248.0,3780.0
4075.710757579157,3523.8676346207417,1296.0,3810.0
4147.710757579157,3595.8676346207417,1344.0,3840.0
4219.710757579157,3667.8676346207417,1392.0,3870.0
4291.710757579157,3739.8676346207417,1440.0,3900.0
4404.839114881053,3797.2666724092473,1488.0,3930.0
4500.839114881053,3845.2666724092464,1536.0,3960.0
4596.839114881053,3893.2666724092464,1584.0,3990.0
4692.839114881053,3941.2666724092464,1632.0,4020.0
4788.839114881053,3989.2666724092464,1680.0,4050.0
4932.839114881052,4061.2666724092464,1728.0,4080.0
5076.839114881052,4133.266672409247,1776.0,4110.0
5220.839114881052,4205.266672409247,1824.0,4140.0
5364.839114881052,4277.266672409247,1872.0,4170.0
5508.839114881052,4349.266672409247,1920.0,4200.0
5666.149799156041,4445.266672409247,1944.0,4230.0
5786.149799156041,4517.266672409247,1968.0,4260.0
5858.149799156041,4583.72728403053,1992.0,4290.0
5930.149799156041,4631.72728403053,2016.0,4320.0
6002.149799156041,4679.72728403053,2040.0,4350.0
6050.149799156041,4751.72728403053,2064.0,4380.0
6098.149799156041,4823.72728403053,2088.0,4410.0
6146.149799156041,4893.006213049486,2112.0,4440.0
6194.149799156041,4941.006213049486,2136.0,4470.0
6242.149799156041,4989.006213049486,2160.0,4500.0
6290.149799156041,5037.006213049486,2160.0,4530.0
6338.149799156041,5085.006213049486,2160.0,4560.0
6386.149799156041,5133.006213049486,2160.0,4590.0
6434.149799156041,5181.006213049486,2160.0,4620.0
6482.149799156041,5229.006213049486,2160.0,4650.0
6554.149799156041,5301.006213049486,2184.0,4680.0
6602.149799156041,5373.006213049486,2208.0,4710.0
6650.149799156041,5445.006213049486,2208.0,4740.0
6698.149799156041,5517.006213049486,2208.0,4770.0
6746.149799156041,5565.006213049486,2208.0,4800.0
6818.149799156041,5613.006213049486,2208.0,4830.0
6890.149799156041,5661.006213049486,2208.0,4860.0
6962.149799156041,5709.006213049486,2208.0,4890.0
7034.149799156041,5757.006213049486,2208.0,4920.0
7106.149799156041,5805.006213049486,2208.0,4950.0
7178.149799156041,5853.006213049486,2208.0,4980.0
7250.149799156041,5901.006213049486,2208.0,5010.0
7322.149799156041,5932.684484490802,2208.0,5040.0
7370.149799156041,5956.684484490802,2208.0,5070.0
7418.149799156041,5980.684484490802,2208.0,5100.0
7538.149799156041,6052.684484490802,2208.0,5130.0
7634.149799156041,6124.684484490801,2208.0,5160.0
7730.149799156041,6196.684484490801,2208.0,5190.0
7826.149799156041,6251.220274931497,2208.0,5220.0
7922.149799156041,6276.899691499449,2208.0,5250.0
8018.149799156041,6324.899691499449,2208.0,5280.0
8114.149799156041,6372.899691499449,2208.0,5310.0
8186.149799156041,6396.899691499449,2208.0,5340.0
8234.14979915604,6420.899691499449,2208.0,5370.0
8282.14979915604,6444.899691499449,2208.0,5400.0
8306.14979915604,6468.899691499449,2232.0,5430.0
8306.14979915604,6468.899691499449,2232.0,5460.0
8306.14979915604,6468.899691499449,2232.0,5490.0
8306.14979915604,6468.899691499449,2232.0,5520.0
8306.14979915604,6468.899691499449,2232.0,5550.0
8306.14979915604,6468.899691499449,2232.0,5580.0
8306.14979915604,6468.899691499449,2232.0,5610.0
8306.14979915604,6468.899691499449,2232.0,5640.0
8306.14979915604,6468.899691499449,2232.0,5670.0
8306.14979915604,6468.899691499449,2232.0,5700.0
8306.14979915604,6468.899691499449,2232.0,5730.0
8306.14979915604,6468.899691499449,2232.0,5760.0
8306.14979915604,6468.899691499449,2232.0,5790.0
8306.14979915604,6468.899691499449,2232.0,5820.0
8306.14979915604,6468.899691499449,2232.0,5850.0
8306.14979915604,6468.899691499449,2232.0,5880.0
8306.14979915604,6468.899691499449,2232.0,5910.0
8306.14979915604,6468.899691499449,2232.0,5940.0
8306.14979915604,6468.899691499449,2232.0,5970.0
8306.14979915604,6468.899691499449,2232.0,6000.0
8306.14979915604,6468.899691499449,2232.0,6030.0
8306.14979915604,6468.899691499449,2232.0,6060.0
8306.14979915604,6468.899691499449,2232.0,6090.0
8306.14979915604,6468.899691499449,2232.0,6120.0
8306.14979915604,6468.899691499449,2232.0,6150.0
8306.14979915604,6468.899691499449,2232.0,6180.0
8306.14979915604,6468.899691499449,2232.0,6210.0
8306.14979915604,6468.899691499449,2232.0,6240.0
8306.14979915604,6468.899691499449,2232.0,6270.0
8306.14979915604,6468.899691499449,2232.0,6300.0
8306.14979915604,6468.899691499449,2232.0,6330.0
8306.14979915604,6468.899691499449,2232.0,6360.0
8306.14979915604,6468.899691499449,2232.0,6390.0
8306.14979915604,6468.899691499449,2232.0,6420.0
8306.14979915604,6468.899691499449,2232.0,6450.0
8306.14979915604,6468.899691499449,2232.0,6480.0
8306.14979915604,6468.899691499449,2232.0,6510.0
8306.14979915604,6468.899691499449,2232.0,6540.0
8306.14979915604,6468.899691499449,2232.0,6570.0
8306.14979915604,6468.899691499449,2232.0,6600.0
8306.14979915604,6468.899691499449,2232.0,6630.0
8306.14979915604,6468.899691499449,2232.0,6660.0
8306.14979915604,6468.899691499449,2232.0,6690.0
8306.14979915604,6468.899691499449,2232.0,6720.0
8306.14979915604,6468.899691499449,2232.0,6750.0
8306.14979915604,6468.899691499449,2232.0,6780.0
8306.14979915604,6468.899691499449,2232.0,6810.0
8306.14979915604,6468.899691499449,2232.0,6840.0
8306.14979915604,6468.899691499449,2232.0,6870.0
8306.14979915604,6468.899691499449,2232.0,6900.0
8306.14979915604,6468.899691499449,2232.0,6930.0
8306.14979915604,6468.899691499449,2232.0,6960.0
8306.14979915604,6468.899691499449,2232.0,6990.0
8306.14979915604,6468.899691499449,2232.0,7020.0
8306.14979915604,6468.899691499449,2232.0,7050.0
8306.14979915604,6468.899691499449,2232.0,7080.0
8306.14979915604,6468.899691499449,2232.0,7110.0
8306.14979915604,6468.899691499449,2232.0,7140.0
8306.14979915604,6468.899691499449,2232.0,7170.0
